id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
10990000,165000.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Leuven,3300,50.8122494,4.9361367,,76.0,,2,2,INSTALLED,0,0,1,,0,0.0,0,0,GOOD,192.0,B,GAS,1,
9752000,165000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8420,51.2988016,3.0774123,1966.0,66.0,,2,1,INSTALLED,1,0,0,0.0,0,0.0,0,0,JUST_RENOVATED,309.0,D,GAS,1,572.0
18229000,295000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Mons,7012,,,,232.0,,2,6,INSTALLED,0,0,0,0.0,0,0.0,0,1,GOOD,340.0,D,FUELOIL,1,1175.0
46037000,125000.0,APARTMENT,APARTMENT,Flanders,Limburg,Hasselt,3600,50.9642353,5.4953215,1971.0,55.0,,2,1,MISSING,0,0,1,,0,0.0,0,1,MISSING,233.0,C,ELECTRIC,1,602.0
56655000,215000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1080,50.8567038,4.3096345,1984.0,83.0,,1,1,HYPER_EQUIPPED,0,0,1,11.0,0,0.0,0,0,AS_NEW,162.0,D,GAS,0,745.0
69795000,179000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2100,51.2349941,4.4708698,1977.0,91.0,,3,2,SEMI_EQUIPPED,0,1,1,3.0,0,0.0,0,0,AS_NEW,254.0,C,GAS,1,
49959000,595000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8300,51.3455784,3.2884683,2010.0,75.0,,2,2,MISSING,0,0,0,0.0,0,0.0,0,1,GOOD,77.0,A,GAS,1,1109.0
29201000,209000.0,APARTMENT,APARTMENT,Wallonia,Walloon Brabant,Nivelles,1480,,,,80.0,,2,2,MISSING,0,0,0,0.0,0,0.0,0,1,JUST_RENOVATED,327.0,D,MISSING,0,
68290000,200000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8400,51.2260737,2.9126203,1980.0,87.0,,2,2,MISSING,0,0,1,2.0,0,0.0,0,0,GOOD,91.0,A,FUELOIL,1,1070.0
67041000,295000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1000,50.8478718,4.3408924,2011.0,81.0,,2,2,HYPER_EQUIPPED,0,0,1,10.0,0,0.0,0,0,AS_NEW,100.0,C,GAS,1,
67641000,375000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Veurne,8670,51.1178312,2.6261837,,90.0,,2,3,MISSING,1,0,1,,0,0.0,0,0,MISSING,340.0,D,GAS,1,1.0
75715000,349000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Turnhout,2300,51.3167998,4.9503274,2003.0,156.0,,2,2,SEMI_EQUIPPED,0,1,1,,0,0.0,0,0,GOOD,103.0,B,GAS,1,1214.0
66326000,327000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8210,51.1383803,3.1446541,2015.0,96.0,,3,2,HYPER_EQUIPPED,0,0,1,21.0,0,0.0,0,0,MISSING,90.0,A,MISSING,1,
50775000,277000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Soignies,7060,50.5697537,4.0710774,,102.0,,4,2,INSTALLED,0,1,1,14.0,0,0.0,0,0,MISSING,90.0,B,MISSING,1,1.0
9869000,348000.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Leuven,3001,50.8654589,4.6970088,1964.0,97.0,,2,2,MISSING,0,0,1,16.0,0,0.0,0,0,AS_NEW,146.0,B,GAS,1,817.0
67563000,195000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Aalst,9550,50.8818162,3.8825891,2007.0,,,2,2,INSTALLED,0,0,0,0.0,0,0.0,0,1,MISSING,140.0,B,GAS,1,737.0
19033000,218000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Soignies,7090,50.6013001,4.136949,,84.0,,3,2,MISSING,0,0,1,9.0,0,0.0,0,1,MISSING,,MISSING,MISSING,0,
54257000,315000.0,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4020,,,,,,2,3,MISSING,0,0,0,0.0,0,0.0,0,1,GOOD,138.0,B,MISSING,0,
55239000,389000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Oudenaarde,9600,50.7496952,3.599,2021.0,133.0,,4,2,HYPER_EQUIPPED,0,0,0,0.0,0,0.0,0,1,AS_NEW,83.0,A,MISSING,0,
41529000,204000.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,1500,,,2019.0,70.0,,3,1,MISSING,0,1,1,5.0,0,0.0,0,1,MISSING,,MISSING,GAS,1,
30770000,149000.0,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4020,50.6433942,5.5856429,1899.0,70.0,,2,1,USA_INSTALLED,0,0,0,0.0,0,0.0,0,1,GOOD,202.0,C,GAS,1,300.0
4791000,545000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1150,50.8291139,4.4561261,1968.0,160.0,,4,3,USA_INSTALLED,0,0,1,,1,5300.0,0,0,TO_BE_DONE_UP,122.0,C,MISSING,1,
79324000,349000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Gent,9070,51.0537594,3.7694523,2024.0,88.0,,3,2,INSTALLED,0,1,1,11.0,1,39.0,0,0,MISSING,,MISSING,MISSING,1,
50484000,330000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1040,,,1999.0,80.0,,2,2,INSTALLED,0,0,0,0.0,0,0.0,0,0,GOOD,204.0,D,ELECTRIC,1,
30709000,249000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1080,50.868523,4.2911622,2024.0,69.0,,2,1,USA_HYPER_EQUIPPED,0,0,1,2.0,0,0.0,0,1,MISSING,,MISSING,GAS,1,
75360000,335000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1200,50.8488372,4.4157291,1965.0,100.0,,2,2,INSTALLED,0,0,1,11.0,0,0.0,0,1,GOOD,208.0,D,GAS,0,
10189000,175000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2170,51.2564575,4.4336137,1978.0,101.0,,4,2,USA_SEMI_EQUIPPED,0,0,1,6.0,0,0.0,0,1,GOOD,198.0,B,FUELOIL,1,
73814000,324700.0,APARTMENT,APARTMENT,Flanders,Antwerp,Turnhout,2300,51.3235367,4.9510094,,133.0,,2,3,MISSING,0,1,1,12.0,0,0.0,0,0,MISSING,,MISSING,MISSING,1,
75032000,475000.0,APARTMENT,APARTMENT,Wallonia,Luxembourg,Bastogne,6690,,,2023.0,,,4,2,INSTALLED,0,1,1,47.0,1,,0,1,MISSING,,A,MISSING,1,
68789000,230000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8400,51.2097829,2.8756579,2010.0,55.0,,3,1,MISSING,0,0,0,0.0,0,0.0,0,1,GOOD,103.0,B,MISSING,0,
13337000,395000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Mechelen,2220,51.0776318,4.7159418,2024.0,115.0,,3,3,SEMI_EQUIPPED,0,1,1,13.0,1,37.0,0,0,MISSING,,MISSING,MISSING,1,
48605000,175000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,6060,,,1981.0,116.0,,3,3,USA_SEMI_EQUIPPED,0,0,1,4.0,0,0.0,0,0,AS_NEW,390.0,E,GAS,1,1162.0
68932000,239000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1083,50.8705081,4.3041887,1979.0,98.0,,2,2,INSTALLED,0,0,0,0.0,0,0.0,0,0,GOOD,280.0,F,GAS,1,1722.0
72337000,195000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1200,50.8497021,4.448701,,50.0,,3,1,SEMI_EQUIPPED,0,1,0,0.0,0,0.0,0,1,MISSING,287.0,F,ELECTRIC,1,
8497000,200000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2000,51.2051115,4.3919383,,55.0,,2,1,INSTALLED,0,0,0,0.0,0,0.0,0,0,MISSING,121.0,B,GAS,1,
