Actual Price,Predicted Price,Absolute Error,Percentage Error
275000.0,356028.62,81028.625,29.464954545454546
495000.0,502848.25,7848.25,1.5855050505050503
142000.0,215517.16,73517.15625,51.772645246478874
599000.0,674963.1,75963.125,12.68165692821369
449000.0,672439.06,223439.0625,49.76371102449889
395000.0,384271.66,10728.34375,2.7160363924050634
229500.0,273438.03,43938.03125,19.14511165577342
215000.0,291345.6,76345.59375,35.50957848837209
189000.0,204863.53,15863.53125,8.393402777777778
594000.0,357230.0,236770.0,39.86026936026936
2195000.0,2377807.8,182807.75,8.328371298405466
246800.0,264665.0,17865.0,7.238654781199353
1165000.0,629534.56,535465.4375,45.96269849785408
350000.0,308798.12,41201.875,11.771964285714285
585000.0,316933.22,268066.78125,45.82338141025641
168000.0,312953.53,144953.53125,86.2818638392857
259000.0,264616.94,5616.9375,2.1687017374517374
